,Brand_Family_Desc,region_desc,Gross_Sales,Advertisement_and_discount_cost,Transfer_Price_COGS,Distribution_cost_supply_chain,Distribution_cose_Sales_-_Region
2542,Ballantine'S,West Bengal & Sikkim,546000.0,,226613.33335,15649.995,
2543,Ballantine'S,Uttar Pradesh Region,0.0,,0.0,,
2544,Ballantine'S,Uttar Pradesh Region,0.0,,0.0,,
2545,Ballantine'S,Uttar Pradesh Region,0.0,,0.0,,
2546,Ballantine'S,Uttar Pradesh Region,420000.0,429541.539999999,145446.8,13336.8,7727.27
2547,Ballantine'S,Uttar Pradesh Region,0.0,,0.0,,
2548,Ballantine'S,Uttar Pradesh Region,0.0,-5910.2999999998,0.0,,21164.0
2549,Ballantine'S,Uttar Pradesh Region,0.0,306140.0,0.0,,15454.54
2550,Ballantine'S,Uttar Pradesh Region,309000.0,,107621.6,6668.4,
2551,Ballantine'S,Uttar Pradesh Region,0.0,0.0,0.0,,42334.0
2552,Ballantine'S,West Bengal & Sikkim,20973435.0,599440.0,11816700.0,700182.0,40101.85
2553,Ballantine'S,West Bengal & Sikkim,49342734.0,0.0,26415931.25,1608751.5,68281.31
2554,Ballantine'S,West Bengal & Sikkim,14000000.0,15343615.78,5418000.0,625999.8,3652.0
2555,Ballantine'S,West Bengal & Sikkim,0.0,,0.0,,
2556,Ballantine'S,West Bengal & Sikkim,0.0,,0.0,,
2557,Ballantine'S,West Bengal & Sikkim,0.0,,0.0,,
2558,Ballantine'S,West Bengal & Sikkim,1050000.0,0.0,424400.0,31299.99,1316.33
2559,Ballantine'S,West Bengal & Sikkim,0.0,,0.0,,
2560,Ballantine'S,West Bengal & Sikkim,0.0,,0.0,,
2561,Ballantine'S,West Bengal & Sikkim,463500.0,,187650.0,9389.997,
2562,Ballantine'S,Uttar Pradesh Region,0.0,,0.0,,
2563,Ballantine'S,Uttar Pradesh Region,0.0,,0.0,,
2564,Ballantine'S,Uttar Pradesh Region,0.0,248984.34,0.0,,7727.27
2565,Ballantine'S,Uttar Pradesh Region,1050000.0,286224.0,363617.0,33342.0,0.0
2566,Ballantine'S,Uttar Pradesh Region,0.0,0.0,0.0,,21164.0
2567,Ballantine'S,Uttar Pradesh Region,0.0,,0.0,,
2568,Ballantine'S,West Bengal & Sikkim,9169328.07,7289095.5,4968641.0,294409.86,58468.55
2569,Ballantine'S,West Bengal & Sikkim,3780000.0,2878530.0,1276155.0,180046.8,21248.23
2570,Ballantine'S,West Bengal & Sikkim,0.0,,0.0,,
2571,Ballantine'S,West Bengal & Sikkim,0.0,,0.0,,
2572,Ballantine'S,West Bengal & Sikkim,0.0,,0.0,,
2573,Ballantine'S,West Bengal & Sikkim,0.0,0.0,0.0,,131.25
